,TaskTypeID,SubTaskTypeID,AppointmentStatus,LanguageID,ForcedAppointment,SameDayAsApplied,LobbyBureauID,DayNumberOfWeek,DayNumberOfMonth,AppHour,Attempts,Reschedules,NoShows
274,162,209,1,1,0,0.0,7,3.0,5.0,13,0.0,0.0,0.0
275,162,209,0,1,0,0.0,2,5.0,20.0,13,0.0,0.0,1.0
276,162,209,1,1,0,0.0,7,3.0,19.0,9,0.0,0.0,0.0
277,162,209,0,1,0,0.0,5,1.0,19.0,13,0.0,0.0,1.0
278,162,210,1,1,0,0.0,3,5.0,22.0,9,0.0,0.0,0.0
279,162,210,1,1,0,0.0,2,3.0,8.0,7,1.0,0.0,0.0
280,162,209,1,1,0,0.0,6,5.0,7.0,9,0.0,0.0,0.0
282,162,209,0,1,0,0.0,1,4.0,27.0,9,0.0,0.0,1.0
283,162,210,1,1,0,0.0,2,1.0,27.0,13,1.0,0.0,0.0
284,162,209,0,1,0,0.0,4,1.0,19.0,9,0.0,0.0,1.0
285,162,210,0,1,0,0.0,2,4.0,30.0,8,2.0,0.0,1.0
286,162,209,1,1,0,0.0,4,2.0,9.0,14,0.0,1.0,1.0
287,162,209,1,1,0,0.0,1,4.0,21.0,8,0.0,0.0,0.0
288,162,209,1,1,0,0.0,1,2.0,28.0,9,0.0,2.0,0.0
289,162,210,1,1,0,0.0,2,2.0,9.0,13,1.0,1.0,1.0
292,162,209,1,1,1,0.0,4,1.0,10.0,8,0.0,0.0,0.0
293,162,210,1,1,0,0.0,2,5.0,14.0,7,1.0,0.0,0.0
294,162,210,1,1,0,0.0,2,4.0,30.0,8,1.0,0.0,0.0
295,162,209,1,1,0,0.0,1,5.0,9.0,8,0.0,1.0,1.0
296,162,209,0,1,0,0.0,2,3.0,15.0,13,0.0,0.0,1.0
302,162,209,1,1,0,0.0,1,5.0,5.0,13,0.0,0.0,0.0
303,162,210,1,16,0,0.0,7,3.0,11.0,13,0.0,0.0,0.0
304,162,209,1,1,0,0.0,1,4.0,25.0,8,0.0,0.0,0.0
305,162,209,1,17,0,0.0,7,4.0,2.0,14,0.0,0.0,0.0
306,162,209,1,1,0,0.0,4,5.0,16.0,9,0.0,0.0,0.0
307,162,209,1,1,0,0.0,2,4.0,14.0,13,0.0,1.0,0.0
310,162,210,0,1,0,0.0,2,5.0,5.0,8,2.0,1.0,3.0
311,162,209,1,1,0,0.0,4,3.0,3.0,11,0.0,0.0,0.0
312,162,210,1,1,0,0.0,6,4.0,16.0,13,1.0,0.0,0.0
313,162,209,1,1,0,0.0,1,2.0,26.0,12,0.0,1.0,1.0
315,162,209,1,1,0,0.0,1,4.0,2.0,14,0.0,1.0,1.0
317,162,209,1,1,0,1.0,4,4.0,6.0,14,0.0,0.0,0.0
319,162,209,0,1,0,0.0,1,2.0,18.0,12,0.0,1.0,1.0
321,162,209,1,1,0,0.0,7,1.0,15.0,14,0.0,2.0,1.0
322,162,210,0,1,0,0.0,2,5.0,9.0,14,2.0,0.0,1.0
324,162,210,0,1,0,0.0,2,3.0,27.0,10,0.0,0.0,1.0
327,162,210,1,1,0,0.0,2,5.0,9.0,14,1.0,0.0,0.0
329,162,209,1,27,0,0.0,4,1.0,10.0,8,0.0,0.0,0.0
330,162,209,1,1,0,0.0,1,3.0,19.0,10,0.0,1.0,1.0
331,162,210,1,1,0,0.0,2,4.0,8.0,13,1.0,0.0,0.0
332,162,209,1,1,0,0.0,5,5.0,9.0,8,0.0,0.0,0.0
333,162,210,0,1,0,0.0,2,3.0,28.0,10,2.0,0.0,1.0
336,162,210,0,1,0,0.0,5,5.0,2.0,13,2.0,0.0,1.0
338,162,209,1,1,0,0.0,8,2.0,28.0,13,0.0,0.0,0.0
339,162,210,1,1,0,0.0,2,5.0,7.0,10,2.0,0.0,0.0
340,162,210,0,1,0,0.0,2,4.0,19.0,8,0.0,0.0,1.0
341,162,210,1,1,0,0.0,5,5.0,27.0,9,1.0,0.0,0.0
342,162,210,1,1,0,0.0,3,5.0,5.0,8,2.0,0.0,0.0
343,162,209,1,6,0,0.0,3,2.0,9.0,9,0.0,0.0,0.0
344,162,209,0,1,0,0.0,1,1.0,19.0,8,0.0,0.0,1.0
345,162,210,1,1,0,0.0,2,2.0,30.0,13,1.0,0.0,0.0
346,162,209,0,1,0,0.0,6,3.0,25.0,14,0.0,0.0,1.0
347,162,209,1,1,0,0.0,3,1.0,6.0,13,0.0,0.0,0.0
348,162,209,1,1,0,0.0,7,5.0,17.0,14,0.0,0.0,0.0
349,162,209,1,1,0,1.0,2,2.0,28.0,13,0.0,0.0,0.0
350,162,209,0,1,0,0.0,5,3.0,5.0,8,0.0,0.0,1.0
351,162,210,1,1,0,0.0,2,2.0,23.0,8,1.0,0.0,1.0
353,162,209,1,1,0,0.0,2,5.0,7.0,8,0.0,1.0,1.0
355,162,209,1,1,0,0.0,1,5.0,26.0,8,0.0,0.0,0.0
357,162,210,1,1,0,0.0,7,5.0,13.0,14,0.0,0.0,0.0
360,162,209,1,1,0,0.0,4,5.0,28.0,13,0.0,0.0,0.0
